Target      | Feature          | DAG_Category | TCE_Value   | Percentuale | Sensitivity| ShuffleDelta| SHAP       | Spurious_Flag 
----------------------------------------------------------------------------------------------------------------------------------
SIZE        | FRR              | direct       | -117.466277 | -1.174663   | 0.078283   | 0.035673    |            | False        
SIZE        | AQUEOUS          | indirect     | -505.173743 | -5.051737   | 0.003556   | 0.002319    |            | True         
SIZE        | PEG              | indirect     | -594.082958 | -5.940830   | 0.104175   | 0.073650    |            | False        
SIZE        | CHOL             | indirect     | 293.591745  | 2.935917    | 0.102608   | 0.027603    |            | False        
SIZE        | ESM              | direct       | 738.369125  | 7.383691    | 0.035674   | 0.016168    |            | False        
SIZE        | HSPC             | independent  | -407.912322 | -4.079123   | 0.026229   | 0.014894    |            | False        
SIZE        | TFR              | direct       | 135.304672  | 1.353047    | 0.019529   | 0.010924    |            | False        
SIZE        | SIZE             | target       |             |             |            |             |            | False        
SIZE        | PDI              | independent  | -145.837127 | -1.458371   | 0.000000   | 0.000000    |            | False        
PDI         | FRR              | direct       | 0.000504    | 0.050375    | 0.078283   | 0.032833    | 0.023758   | True         
PDI         | AQUEOUS          | indirect     | -0.112514   | -11.251369  | 0.003556   | 0.002819    | 0.001595   | True         
PDI         | PEG              | direct       | -0.021770   | -2.177047   | 0.104175   | 0.076134    | 0.054111   | True         
PDI         | CHOL             | indirect     | 0.050411    | 5.041053    | 0.102608   | 0.030352    | 0.020473   | True         
PDI         | ESM              | direct       | 0.020890    | 2.089042    | 0.035674   | 0.015861    | 0.011653   | False        
PDI         | HSPC             | independent  | 0.081111    | 8.111052    | 0.026229   | 0.014781    | 0.012151   | False        
PDI         | TFR              | direct       | 0.086610    | 8.660968    | 0.019529   | 0.010468    | 0.005665   | False        
PDI         | SIZE             | independent  | 0.002768    | 0.276846    | 0.506240   | 0.098782    | 0.065385   | True         
PDI         | PDI              | target       |             |             |            |             |            | False        
